What is the average central corneal thickness? ||| About 540 micrometers
Quick question: which test dissociates the eyes vertically for balance? ||| Vertical prism dissociated balance with a 3 to 4 prism diopter base up
Exam prep: which test dissociates the eyes vertically for balance? ||| Vertical prism dissociated balance with a 3 to 4 prism diopter base up
Which test dissociates the eyes vertically for balance? (A) dilator (B) Pilocarpine (C) Vitamin A (D) Vertical prism dissociated balance with a 3 to 4 prism diopter base up ||| D
Which test dissociates the eyes vertically for balance? (A) 18.5 (B) manifest (C) Vertical prism dissociated balance with a 3 to 4 prism diopter base up (D) 1.498 ||| C
True or false: A 3 to 4 prism diopter vertical prism dissociates the eyes for balance. ||| true
True or false: A 3 to 4 prism diopter skin dissociates the eyes for balance. ||| false
Fill in the blank: A 3 to 4 prism diopter ____ dissociates the eyes for balance. ||| Vertical prism
What is cycloplegia? ||| Paralysis of the ciliary muscle with drops such as cyclopentolate
Quick question: what is cycloplegia? ||| Paralysis of the ciliary muscle with drops such as cyclopentolate
Exam prep: what is cycloplegia? ||| Paralysis of the ciliary muscle with drops such as cyclopentolate
What is cycloplegia? (A) strongest plus (B) closest point (C) Paralysis of the ciliary muscle with drops such as cyclopentolate (D) hyperopia ||| C
What is cycloplegia? (A) Paralysis of the ciliary muscle with drops such as cyclopentolate (B) levator (C) before 8 (D) lipid ||| A
True or false: Cycloplegia paralyzes the ciliary muscle using drops like cyclopentolate. ||| true
True or false: Cycloplegia paralyzes the ciliary muscle using drops like Blepharophimosis. ||| false
Fill in the blank: Cycloplegia paralyzes the ciliary muscle using drops like ____. ||| cyclopentolate
When is cycloplegic refraction most important? ||| Children and hyperopes with strong accommodation
Quick question: when is cycloplegic refraction most important? ||| Children and hyperopes with strong accommodation
Exam prep: when is cycloplegic refraction most important? ||| Children and hyperopes with strong accommodation
When is cycloplegic refraction most important? (A) cone density (B) 1.498 (C) hyperopia (D) Children and hyperopes with strong accommodation ||| D
When is cycloplegic refraction most important? (A) 6.5 (B) year (C) Children and hyperopes with strong accommodation (D) zonules ||| C
True or false: Cycloplegic refraction matters most in children and hyperopes. ||| true
True or false: Cycloplegic refraction matters most in tropia and hyperopes. ||| false
Fill in the blank: Cycloplegic refraction matters most in ____ and hyperopes. ||| Children
What is myopia? ||| A refractive error where light focuses in front of the retina, causing blur at distance
Quick question: what is myopia? ||| A refractive error where light focuses in front of the retina, causing blur at distance
Exam prep: what is myopia? ||| A refractive error where light focuses in front of the retina, causing blur at distance
What is myopia? (A) palpebral (B) curtain (C) 2 and 8 (D) A refractive error where light focuses in front of the retina, causing blur at distance ||| D
What is myopia? (A) Third nerve (B) neuroimaging (C) A refractive error where light focuses in front of the retina, causing blur at distance (D) nasolacrimal duct ||| C
True or false: Myopia focuses light in front of the retina and blurs distance vision. ||| true
True or false: Myopia focuses light Neovascularization and blurs distance vision. ||| false
Fill in the blank: Myopia focuses light ____ and blurs distance vision. ||| in front of the retina
What is astigmatism? ||| A refractive error with different powers in different meridians from a non-spherical cornea or lens
Quick question: what is astigmatism? ||| A refractive error with different powers in different meridians from a non-spherical cornea or lens
Exam prep: what is astigmatism? ||| A refractive error with different powers in different meridians from a non-spherical cornea or lens
What is astigmatism? (A) A refractive error with different powers in different meridians from a non-spherical cornea or lens (B) junction (C) Kayser-Fleischer (D) reflex ||| A
What is astigmatism? (A) permeability (B) A refractive error with different powers in different meridians from a non-spherical cornea or lens (C) 1.65 (D) under-minused ||| B
True or false: Astigmatism gives different power in different meridians. ||| true
True or false: Astigmatism gives different power in different Office based. ||| false
Fill in the blank: Astigmatism gives different power in different ____. ||| meridians
What is presbyopia correction with progressive lenses called? ||| A simultaneous vision lens with distance, intermediate, and near zones
Quick question: what is presbyopia correction with progressive lenses called? ||| A simultaneous vision lens with distance, intermediate, and near zones
Exam prep: what is presbyopia correction with progressive lenses called? ||| A simultaneous vision lens with distance, intermediate, and near zones
What is presbyopia correction with progressive lenses called? (A) levator (B) A simultaneous vision lens with distance, intermediate, and near zones (C) AREDS2 (D) Posterior subcapsular ||| B
What is presbyopia correction with progressive lenses called? (A) nicking (B) A simultaneous vision lens with distance, intermediate, and near zones (C) Thick (D) salmon patch ||| B
True or false: Progressive lenses are simultaneous vision lenses with distance to near zones. ||| true
True or false: Progressive lenses are Raised IOP vision lenses with distance to near zones. ||| false
Fill in the blank: Progressive lenses are ____ vision lenses with distance to near zones. ||| simultaneous
What is the soft touch endpoint for duochrome after binocular balance? ||| Red slightly clearer to keep the patient from over-minusing
Quick question: what is the soft touch endpoint for duochrome after binocular balance? ||| Red slightly clearer to keep the patient from over-minusing
Exam prep: what is the soft touch endpoint for duochrome after binocular balance? ||| Red slightly clearer to keep the patient from over-minusing
What is the soft touch endpoint for duochrome after binocular balance? (A) Itching (B) Red slightly clearer to keep the patient from over-minusing (C) phenylephrine (D) Adie ||| B
What is the soft touch endpoint for duochrome after binocular balance? (A) Retinoblastoma (B) myopic (C) Red slightly clearer to keep the patient from over-minusing (D) Prentice ||| C
True or false: Leave duochrome slightly red to protect against over-minusing. ||| true
True or false: Leave duochrome slightly perimetry to protect against over-minusing. ||| false
Fill in the blank: Leave duochrome slightly ____ to protect against over-minusing. ||| Red
What is retinoscopy used for? ||| Objectively finding the refractive error from the reflex at the pupil
Quick question: what is retinoscopy used for? ||| Objectively finding the refractive error from the reflex at the pupil
Exam prep: what is retinoscopy used for? ||| Objectively finding the refractive error from the reflex at the pupil
What is retinoscopy used for? (A) Objectively finding the refractive error from the reflex at the pupil (B) rotate up (C) trochlear (D) Benzalkonium ||| A
What is retinoscopy used for? (A) Purulent (B) Objectively finding the refractive error from the reflex at the pupil (C) Panretinal (D) coherence ||| B
True or false: Retinoscopy measures refractive error from the pupillary light reflex. ||| true
True or false: Retinoscopy measures refractive error from the pupillary light hyperopia. ||| false
Fill in the blank: Retinoscopy measures refractive error from the pupillary light ____. ||| reflex
What does a scissored retinoscopic reflex suggest? ||| Irregular astigmatism, such as keratoconus
Quick question: what does a scissored retinoscopic reflex suggest? ||| Irregular astigmatism, such as keratoconus
Exam prep: what does a scissored retinoscopic reflex suggest? ||| Irregular astigmatism, such as keratoconus
What does a scissored retinoscopic reflex suggest? (A) Irregular astigmatism, such as keratoconus (B) Microaneurysms (C) behind (D) scintillating ||| A
What does a scissored retinoscopic reflex suggest? (A) vertical (B) larger (C) Irregular astigmatism, such as keratoconus (D) Tropicamide ||| C
